rank,pair,session,event_start,event_peak_time,event_end,long_exchange_at_peak,short_exchange_at_peak,peak_spread_bps,gross_convergence_bps,funding_advantage_bps_during_event,combined_gross_bps,net_10bps,net_20bps,net_40bps,net_80bps,duration_minutes,data_quality,warnings
25,binance/bitget,KRX_REGULAR_EARLIER,2026-07-13 23:28:00+00:00,2026-07-14 01:20:00+00:00,2026-07-14 04:56:00+00:00,binance,bitget,78.60018374945602,58.30651080894603,10.8201,69.12661080894603,59.126610808946026,49.126610808946026,29.126610808946026,-10.873389191053974,329,strict_joint_window,历史分钟代理；无真实BBO
26,bitget/okx,KRX_REGULAR_EARLIER,2026-06-15 00:25:00+00:00,2026-06-15 01:57:00+00:00,2026-06-15 06:28:00+00:00,okx,bitget,86.65990596478343,66.2577389773389,0.0,66.2577389773389,56.2577389773389,46.2577389773389,26.257738977338903,-13.742261022661097,364,strict_joint_window,历史分钟代理；无真实BBO
27,binance/bitget,KRX_REGULAR_EARLIER,2026-06-29 00:00:00+00:00,2026-06-29 00:28:00+00:00,2026-06-29 01:05:00+00:00,binance,bitget,75.24427644247828,50.48439929200263,15.744299999999999,66.22869929200263,56.22869929200263,46.22869929200263,26.22869929200263,-13.77130070799737,66,strict_joint_window,历史分钟代理；无真实BBO
28,bitget/okx,KRX_FULLY_CLOSED,2026-06-12 09:38:00+00:00,2026-06-12 11:53:00+00:00,2026-06-12 15:57:00+00:00,okx,bitget,91.47529551716434,63.53368385050952,0.0,63.53368385050952,53.53368385050952,43.53368385050952,23.53368385050952,-16.46631614949048,380,strict_joint_window,历史分钟代理；无真实BBO
29,binance/bitget,KRX_HOLIDAY_OR_WEEKEND,2026-06-26 14:00:00+00:00,2026-06-26 15:14:00+00:00,2026-06-28 11:13:00+00:00,binance,bitget,88.76617301417032,67.16764966533998,-4.3743,62.79334966533998,52.79334966533998,42.79334966533998,22.79334966533998,-17.20665033466002,2714,strict_joint_window,历史分钟代理；无真实BBO
30,binance/okx,KRX_REGULAR_EARLIER,2026-06-29 00:00:00+00:00,2026-06-29 00:00:00+00:00,2026-06-29 00:09:00+00:00,binance,okx,51.70366794359449,29.85271232653694,32.468862838117,62.321575164653936,52.321575164653936,42.321575164653936,22.321575164653936,-17.678424835346064,10,strict_joint_window,历史分钟代理；无真实BBO
31,bitget/okx,KRX_REGULAR_EARLIER,2026-06-19 04:25:00+00:00,2026-06-19 05:38:00+00:00,2026-06-19 06:16:00+00:00,okx,bitget,84.65957192938647,60.22180567331927,0.0,60.22180567331927,50.22180567331927,40.22180567331927,20.221805673319267,-19.778194326680733,112,strict_joint_window,历史分钟代理；无真实BBO
32,bitget/okx,KRX_FULLY_CLOSED,2026-06-29 04:15:00+00:00,2026-06-29 11:37:00+00:00,2026-06-29 14:11:00+00:00,okx,bitget,64.07242461852843,40.97717494672436,19.030909612604,60.00808455932836,50.00808455932836,40.00808455932836,20.00808455932836,-19.99191544067164,597,strict_joint_window,历史分钟代理；无真实BBO
33,binance/okx,KRX_FULLY_CLOSED,2026-06-10 12:33:00+00:00,2026-06-10 13:35:00+00:00,2026-06-10 16:15:00+00:00,okx,binance,100.81375811287177,77.24982747947311,-17.568687673407002,59.68113980606611,49.68113980606611,39.68113980606611,19.681139806066113,-20.318860193933887,223,strict_joint_window,历史分钟代理；无真实BBO
34,binance/okx,KRX_REGULAR_EARLIER,2026-07-13 03:47:00+00:00,2026-07-14 03:27:00+00:00,2026-07-14 07:02:00+00:00,okx,binance,240.72114774218164,217.6959134553952,-158.03581404222797,59.660099413167245,49.660099413167245,39.660099413167245,19.660099413167245,-20.339900586832755,1636,strict_joint_window,历史分钟代理；无真实BBO
35,binance/gate,KRX_HOLIDAY_OR_WEEKEND,2026-07-17 19:41:00+00:00,2026-07-18 01:04:00+00:00,2026-07-18 14:08:00+00:00,binance,gate,47.50677439059146,24.823549968831404,34.4887,59.31224996883141,49.31224996883141,39.31224996883141,19.31224996883141,-20.68775003116859,1108,strict_joint_window,历史分钟代理；无真实BBO
36,binance/okx,KRX_FULLY_CLOSED,2026-06-11 09:15:00+00:00,2026-06-11 09:22:00+00:00,2026-06-11 09:38:00+00:00,okx,binance,78.83663855521279,57.55371541379581,0.0,57.55371541379581,47.55371541379581,37.55371541379581,17.553715413795807,-22.446284586204193,24,strict_joint_window,历史分钟代理；无真实BBO
37,bitget/okx,KRX_FULLY_CLOSED,2026-07-15 15:14:00+00:00,2026-07-15 16:20:00+00:00,2026-07-15 18:50:00+00:00,okx,bitget,56.0158529544839,33.488702410711696,23.98100578228,57.469708192991696,47.469708192991696,37.469708192991696,17.469708192991696,-22.530291807008304,217,strict_joint_window,历史分钟代理；无真实BBO
38,binance/bitget,KRX_FULLY_CLOSED,2026-07-02 09:27:00+00:00,2026-07-02 12:38:00+00:00,2026-07-02 15:05:00+00:00,binance,bitget,78.08448241246491,57.30966176958472,0.0,57.30966176958472,47.30966176958472,37.30966176958472,17.30966176958472,-22.69033823041528,339,strict_joint_window,历史分钟代理；无真实BBO
39,bitget/okx,KRX_OFFICIAL_AFTER_HOURS,2026-06-26 06:23:00+00:00,2026-06-26 06:49:00+00:00,2026-06-26 13:10:00+00:00,okx,bitget,66.19202511202529,36.816103478840645,20.401948861380003,57.21805234022065,47.21805234022065,37.21805234022065,17.218052340220652,-22.781947659779348,408,strict_joint_window,历史分钟代理；无真实BBO
40,bitget/hyperliquid,KRX_FULLY_CLOSED,2026-07-19 16:05:00+00:00,2026-07-19 22:06:00+00:00,2026-07-20 00:16:00+00:00,hyperliquid,bitget,98.95500467687302,62.35120106423747,-5.308658,57.04254306423747,47.04254306423747,37.04254306423747,17.04254306423747,-22.95745693576253,492,strict_joint_window,历史分钟代理；无真实BBO
41,bitget/okx,KRX_FULLY_CLOSED,2026-07-09 08:39:00+00:00,2026-07-09 13:39:00+00:00,2026-07-09 16:37:00+00:00,okx,bitget,87.19803436025346,66.18867149201853,-9.49839899681,56.69027249520853,46.69027249520853,36.69027249520853,16.690272495208532,-23.309727504791468,479,strict_joint_window,历史分钟代理；无真实BBO
42,binance/okx,KRX_FULLY_CLOSED,2026-06-16 09:55:00+00:00,2026-06-16 12:24:00+00:00,2026-06-16 19:30:00+00:00,okx,binance,75.93378862802834,55.414035489615685,0.7110144897190008,56.12504997933468,46.12504997933468,36.12504997933468,16.125049979334683,-23.874950020665317,576,strict_joint_window,历史分钟代理；无真实BBO
43,binance/bitget,KRX_OFFICIAL_AFTER_HOURS,2026-06-29 03:00:00+00:00,2026-06-29 08:27:00+00:00,2026-06-29 14:14:00+00:00,binance,bitget,60.022996201260106,32.98972945143923,21.1982,54.18792945143923,44.18792945143923,34.18792945143923,14.187929451439231,-25.81207054856077,675,strict_joint_window,历史分钟代理；无真实BBO
